SMILES,SMR_VSA,SlogP_VSA,PEOE_VSA
CC[C@@H](C)CCNC(=O)Nc1ccc(OCC(N)=O)cc1,14.325937321943691 0.0 5.316788604006331 11.651573523323577 26.689117645233267 18.468426974431825 24.26546827384644 0.0 5.749511833283905 17.62568051637314,21.104107638974895 25.08993261211507 4.794537184071822 5.917906046161393 26.689117645233267 24.26546827384644 0.0 0.0 0.0 10.481923458755384,21.104107638974895 4.794537184071822 4.794537184071822 0.0 0.0 20.268296022307258 36.60419594293384 12.232142680596137 0.0 5.749511833283905 6.606881964512918 0.0 5.907179729351506 6.031114512338072
C=CCN[C@@H]1CN(C(=O)CCn2cc(C)cn2)C[C@H]1C,4.794537184071822 0.0 19.99718307830303 5.917906046161393 32.85489325736779 19.634269217737724 30.612094425355526 0.0 0.0 5.907179729351506,5.316788604006331 46.263684250533885 11.339293589984397 12.841643245852017 18.90801031431363 25.04864293365853 0.0 0.0 0.0 0.0,10.216698334856808 9.476340119217006 0.0 5.098681808301038 6.578935683598497 12.999757306524504 18.405094737549014 44.83853164733734 6.196843571613076 0.0 0.0 5.907179729351506 0.0 0.0
CO[C@@H](C)CN1CC[C@H](NC(=O)CCCn2ccnc2)C1,9.53140013787187 0.0 19.76777650359537 0.0 44.87676569127749 26.74406675901526 18.721007217990696 0.0 0.0 5.907179729351506,5.316788604006331 59.24804160485206 16.076156543784446 0.0 26.186202068468653 18.721007217990696 0.0 0.0 0.0 0.0,14.620751205597735 9.694446914922299 4.9839785209472085 0.0 0.0 0.0 19.765380445542643 58.14517276022796 12.431286462512844 0.0 0.0 5.907179729351506 0.0 0.0
CC(C)O[C@@H]1CCN(Cc2ccc(O)c(O)c2)C1,14.94991774348146 0.0 4.899909730850478 0.0 39.02098520371643 13.08951281182515 23.762552697081826 0.0 11.49902366656781 0.0,0.0 40.41041010785364 11.281619359712625 0.0 25.831747514004253 18.19910120538483 0.0 0.0 0.0 0.0,14.94991774348146 4.899909730850478 0.0 0.0 0.0 6.06636706846161 37.964481650927475 19.634269217737724 12.207932775496605 0.0 11.49902366656781 0.0 0.0 0.0
CN(C)C(=O)CN1CC[C@H]2[C@@H]1CCN2C(=O)[C@@H](CO)C(F)(F)F,27.86684690600881 0.0 14.699729192551434 5.917906046161393 31.101623421591416 40.33649514760502 0.0 0.0 0.0 11.814359458703011,0.0 90.21709136943957 9.589074368143644 5.917906046161393 12.841643245852019 0.0 0.0 0.0 0.0 13.171245143024459,14.906346856541662 14.48898409899412 0.0 13.171245143024459 0.0 0.0 12.841643245852019 39.26853843547545 13.151638370425493 0.0 5.917906046161393 11.814359458703011 0.0 6.176298517443475
CNC(=O)CCN(C)C(=O)C(=O)N[C@H]1CCOC[C@@H]1OCCOC,28.594200413615614 0.0 15.533486938863138 0.0 24.987450462748285 54.17742577059616 0.0 0.0 0.0 17.721539188054518,10.633577208012662 88.94468190639742 28.594200413615614 0.0 12.841643245852019 0.0 0.0 0.0 0.0 0.0,29.744075800263285 14.383611552215466 0.0 0.0 0.0 0.0 6.4208216229260096 40.77760149998342 25.862486722686715 6.103966387748303 0.0 5.907179729351506 0.0 11.814359458703011
C=CCCCNC(=O)C(=O)Nc1ccc(Cl)c(C)c1,9.589074368143644 0.0 5.316788604006331 0.0 19.765380445542643 11.861545009918906 41.44014180125553 0.0 0.0 29.102685623619088,10.633577208012662 18.359115864615585 9.589074368143644 6.923737199690624 18.405094737549014 30.854056995817206 5.022633313741326 0.0 0.0 5.687386274683562,10.633577208012662 9.589074368143644 0.0 0.0 6.578935683598497 17.676959997066398 43.52793314262447 17.254775994337464 0.0 0.0 0.0 0.0 0.0 11.814359458703011
CCn1cc(C(=O)NC[C@@H]2CCCN2C(=O)[C@H](C)OC)nn1,14.325937321943693 0.0 25.2105681739579 0.0 45.379681268042106 20.199310353102682 11.890771566461538 0.0 0.0 11.814359458703011,5.316788604006331 64.05325659865353 16.076156543784446 0.0 37.177582824153546 6.196843571613076 0.0 0.0 0.0 0.0,14.953561288656857 14.270877303288827 0.0 0.0 5.098681808301038 5.213385095654868 26.689117645233267 32.78590758816322 6.196843571613076 6.103966387748303 5.693927994848461 0.0 11.814359458703011 0.0
C[C@@H](CCCCO)NCc1ccc(S(C)(=O)=O)c(Cl)c1,13.524324379169643 0.0 5.316788604006331 0.0 43.66828277904696 12.862651148024323 28.785186010823153 0.0 0.0 21.43819302665002,5.316788604006331 32.428816356341926 16.382009542330078 0.0 31.749653560165648 23.094584680902607 5.022633313741326 0.0 0.0 0.0,10.423315998847038 0.0 8.417796984328938 0.0 0.0 17.667306958694127 43.882387697088866 25.449248383084857 9.918116789259102 0.0 9.837253136417502 0.0 0.0 0.0
C#CCOCCNC(=O)C(=O)N[C@@H](C)CS(=O)(=O)CC,22.74373430627263 0.0 10.633577208012662 0.0 19.88931522852921 31.26422754843199 0.0 0.0 12.343784214475903 21.65161259512051,10.633577208012662 57.538224820611894 24.163190458361193 12.343784214475903 13.847474399381248 0.0 0.0 0.0 0.0 0.0,15.37044016181271 9.589074368143644 8.417796984328938 0.0 6.423349895620259 12.844171518546268 6.923737199690624 18.339450841807324 12.359735571259707 6.606881964512918 9.837253136417502 0.0 0.0 11.814359458703011
C[C@H](C[C@H](C)N)NC[C@@H](CO)Cc1cc(Br)ccc1F,9.496942442515525 0.0 5.316788604006331 11.651573523323577 38.7727993035292 13.151638370425493 34.052493053960134 0.0 0.0 15.929943897949348,11.050456081168516 30.341847423562122 6.4208216229260096 11.735126887207288 25.831747514004253 22.671820721217244 0.0 0.0 0.0 4.39041504767482,16.156983476009223 0.0 4.39041504767482 0.0 0.0 15.929943897949348 56.36957638847648 29.708039544553827 0.0 5.817220841045895 0.0 0.0 0.0 0.0
CC(C)C(=O)NCC1(NC(=O)Cc2ccco2)CC1,14.006225305196992 0.0 10.633577208012662 5.917906046161393 38.64886452054262 6.544756405912575 24.156144551436718 0.0 0.0 11.814359458703011,10.633577208012662 23.898041116998932 16.009895991069655 5.917906046161393 32.44936506410771 22.813048069615622 0.0 0.0 0.0 0.0,15.05072814506601 9.589074368143644 0.0 0.0 0.0 13.847474399381248 24.97437738277524 12.462662452073968 18.222909870948413 5.760247418874442 0.0 11.814359458703011 0.0 0.0
C[C@@H](CCNC(=O)c1cnnn1C)NCc1cnnn1C,4.794537184071822 0.0 40.62131688621484 14.09534396535438 25.93115605767717 6.544756405912575 23.781543132923076 0.0 0.0 5.907179729351506,10.633577208012662 48.481516642614224 20.640100371266954 0.0 29.526951996385378 12.393687143226153 0.0 0.0 0.0 0.0,10.633577208012662 9.476340119217006 4.681802935145185 0.0 10.197363616602075 10.426770191309735 13.344558822616634 33.22669760632749 18.087615138074614 5.693927994848461 0.0 0.0 5.907179729351506 0.0
Cc1nnc([C@H](C)NC(=O)NCCCN(C)C)s1,4.794537184071822 0.0 25.730850555465214 0.0 26.31013685145522 27.18485677717953 10.01524739370553 0.0 0.0 17.36790039027281,10.633577208012662 48.313244636970154 0.0 6.923737199690624 29.401647045470124 0.0 0.0 0.0 0.0 4.794537184071822,15.53348693886314 0.0 4.794537184071822 0.0 10.197363616602075 11.336785877934737 40.90839639357421 6.544756405912575 6.041840829147961 10.01524739370553 0.0 0.0 0.0 6.031114512338072
COc1ccc(C)cc1NC[C@@H](O)CC(F)(F)F,23.014635491665217 0.0 0.0 0.0 25.62482372780841 18.97134255119644 23.762552697081826 0.0 5.749511833283905 5.687386274683562,10.05365155780638 31.041346247222588 0.0 6.923737199690624 11.984273114623004 18.19910120538483 0.0 0.0 0.0 18.858631417708022,15.160178952647085 0.0 0.0 13.171245143024459 0.0 6.06636706846161 24.61992282831084 6.544756405912575 25.32197182663541 5.749511833283905 0.0 0.0 0.0 6.176298517443475
COCCC(=O)NCC1(O)CN(C(=O)[C@H](C)OC)C1,24.169327670584448 0.0 10.216698334856808 0.0 25.049576021348624 40.460746264805714 0.0 0.0 0.0 11.814359458703011,5.316788604006331 73.9865600479319 19.06280027574374 0.0 13.344558822616634 0.0 0.0 0.0 0.0 0.0,24.79695163729761 9.589074368143644 0.0 0.0 0.0 0.0 6.923737199690624 27.185173111393652 19.696394776338067 11.70501719873199 0.0 5.907179729351506 5.907179729351506 0.0
CO[C@H](C)C(=O)N1CC[C@@](C)(NC(=O)c2cc(C)n(C)n2)C1,14.325937321943691 0.0 19.99718307830303 7.04767198267719 38.834924862129526 20.199310353102685 17.454223058158533 0.0 0.0 11.814359458703011,5.316788604006331 58.33695592623404 16.57907212054906 6.923737199690624 36.450689196076 6.06636706846161 0.0 0.0 0.0 0.0,14.953561288656857 14.270877303288827 0.0 5.098681808301038 0.0 0.0 33.25840029045949 32.940910330628334 5.538925252383345 11.797894382596763 0.0 0.0 11.814359458703011 0.0
CCNC(=O)CN(C)C(=O)CCC(=O)Nc1nncs1,14.383611552215466 0.0 20.414061951458883 0.0 19.765380445542643 25.45397339850867 5.51053927361738 0.0 0.0 34.189883545828586,10.633577208012662 52.95599733000941 14.383611552215466 0.0 19.765380445542643 5.51053927361738 0.0 0.0 0.0 5.131558479839333,15.533486938863138 14.383611552215466 0.0 0.0 10.197363616602075 11.336785877934737 6.923737199690624 26.434071634441782 6.544756405912575 5.51053927361738 0.0 22.85309766789385 0.0 0.0
C=CCCCCCN[C@@H](C)C[C@H](C)NC(=O)c1n[nH]cc1F,9.184952231746642 0.0 20.830940824614736 0.0 58.03526417230721 6.544756405912575 30.36294819793981 0.0 0.0 5.907179729351506,10.633577208012662 34.732981410162076 0.0 5.817220841045895 56.44004769293157 18.851799362045455 0.0 0.0 0.0 4.39041504767482,10.633577208012662 9.893218992372859 4.39041504767482 5.098681808301038 6.578935683598497 12.49684172975989 46.07551729699786 12.083681658295921 6.196843571613076 0.0 11.511148835894357 0.0 5.907179729351506 0.0
O=C(O)c1csc(CNC(=O)Cc2ccc3c(c2)OCO3)n1,24.169327670584448 0.0 10.30076712495354 0.0 12.965578028838586 6.792942306099827 39.84416715924897 0.0 11.49902366656781 23.21327089523809,14.790514511606428 28.759933239191096 17.760115212910407 0.0 21.059540367470042 23.579163975850744 0.0 0.0 0.0 0.0,19.897041906447136 4.794537184071822 9.77851570501903 0.0 11.336785877934737 6.06636706846161 17.696185628620217 5.380062770465915 12.965578028838586 5.007623696852765 17.19295166141627 12.700122035451333 0.0 5.969305287951849
CCOCC(=O)NCCN(C)CCn1cc(Cl)cn1,9.53140013787187 0.0 19.99718307830303 0.0 13.4684936056032 39.89570512944075 17.41632045696748 0.0 0.0 17.508119619584022,5.316788604006331 60.48327933308895 16.076156543784446 0.0 6.923737199690624 12.393687143226153 5.022633313741326 0.0 0.0 0.0,14.953561288656857 9.476340119217006 0.0 5.098681808301038 0.0 11.600939890232516 13.971409182367815 32.43799475386372 17.764233291266976 6.606881964512918 0.0 5.907179729351506 0.0 0.0
O=C(NC[C@@H](CO)C1CC1)[C@@H]1CCCC12CCOCC2,14.637927532712578 0.0 5.316788604006331 23.168708607880962 44.94575136048208 26.36540229945133 0.0 0.0 0.0 5.907179729351506,5.316788604006331 37.37910942364354 9.53140013787187 23.168708607880962 44.94575136048208 0.0 0.0 0.0 0.0 0.0,15.160178952647087 4.794537184071822 0.0 0.0 0.0 6.4208216229260096 49.857826253114226 38.201214391774116 0.0 0.0 0.0 5.907179729351506 0.0 0.0
CNCCC(=O)N[C@@H](CCc1cn(C)cn1)C(=O)OC,14.325937321943693 0.0 20.184655376751223 7.04767198267719 25.30430569792599 20.702225929867296 18.21809164122608 0.0 0.0 11.876485017303356,10.633577208012662 48.17162994505718 27.79443092754689 0.0 18.53557124070048 12.524163646377618 0.0 0.0 0.0 0.0,19.937539809604065 4.794537184071822 9.77851570501903 0.0 0.0 0.0 19.88931522852921 26.210093583128852 19.131045610890535 6.041840829147961 0.0 5.907179729351506 0.0 5.969305287951849
CC[C@@H](NCc1cocn1)c1cc(Cl)ccc1O,9.523678331894054 0.0 10.30076712495354 0.0 25.93115605767717 0.0 47.13591650010119 0.0 5.749511833283905 11.600939890232516,5.316788604006331 10.090505915787915 6.544756405912575 0.0 30.64377913831005 35.273054636867755 5.022633313741326 0.0 0.0 0.0,14.840466935900384 0.0 4.9839785209472085 0.0 0.0 18.524677089923138 24.619922828310838 23.17268204049886 5.693927994848461 12.012674828922961 6.393639498790523 0.0 0.0 0.0
CCC[C@@H](O)CC(=O)N[C@H](CC)c1ccc(F)cc1F,18.681894674262168 0.0 5.316788604006331 0.0 51.67656810798155 0.0 35.39699437917362 0.0 0.0 5.907179729351506,5.316788604006331 17.117673511940513 4.794537184071822 11.63444168209179 51.13605321193023 18.19910120538483 0.0 0.0 0.0 8.78083009534964,10.423315998847038 4.794537184071822 8.78083009534964 0.0 0.0 26.334663090768867 18.90801031431363 11.629818560158606 18.566628839822272 11.63444168209179 0.0 5.907179729351506 0.0 0.0
CNC(=O)NC(=O)[C@H](C)N(C)[C@@H](C)CNC(=O)CCOC,19.120474506015515 0.0 20.850275542869472 0.0 32.351977680603184 34.356779877057406 0.0 0.0 0.0 17.845473971041084,15.950365812018994 69.18584523724488 14.325937321943693 0.0 20.268296022307258 0.0 0.0 0.0 0.0 4.794537184071822,15.370440161812711 19.805772703000454 4.794537184071822 0.0 0.0 0.0 20.89514638205844 33.16488838194127 12.648722793660879 0.0 0.0 11.814359458703011 0.0 6.031114512338072
CC(=O)N1CC[C@@](C)(CNC(=O)[C@@H]2CCCO2)C1,14.325937321943693 0.0 10.216698334856808 5.41499046939678 39.21390565590758 26.241151182250643 0.0 0.0 0.0 11.814359458703011,5.316788604006331 49.05938675955243 14.325937321943693 5.41499046939678 33.10993926815928 0.0 0.0 0.0 0.0 0.0,14.953561288656857 9.589074368143644 0.0 0.0 0.0 6.923737199690624 19.26246486877803 38.579878851338044 0.0 6.103966387748303 0.0 11.814359458703011 0.0 0.0
CC(=O)C(=O)N1CCO[C@]2(CCN(C(=O)[C@H](C)O)C2)C1,24.227001900856223 0.0 9.799819461700956 0.0 31.973313221039245 32.78590758816322 0.0 0.0 0.0 17.59760440506795,0.0 76.99487604850482 19.120474506015515 0.0 20.268296022307258 0.0 0.0 0.0 0.0 0.0,19.64320981034171 14.383611552215466 0.0 0.0 0.0 0.0 13.344558822616634 20.013250011515776 19.696394776338067 11.70501719873199 0.0 5.783244946364939 11.814359458703011 0.0
C[C@H](CN[C@@H](C)c1ccc(F)c(F)c1O)CN1CCCC1,13.887357490190345 0.0 10.216698334856808 5.917906046161393 32.730958474381225 26.1790256236503 29.330627310712007 0.0 5.749511833283905 0.0,5.316788604006331 36.18546274934148 0.0 17.55234772825318 38.29440996607822 12.13273413692322 0.0 0.0 0.0 8.78083009534964,15.323225729697516 0.0 4.39041504767482 4.39041504767482 0.0 12.990104268152233 51.38392277790337 18.150048726757532 0.0 0.0 11.5667326743298 5.817220841045895 0.0 0.0
COc1ccc(CNCCCC(=O)O)cc1C(C)(C)C,14.637927532712576 0.0 5.316788604006331 0.0 45.57260172023325 13.65455394719011 29.32600418877882 0.0 5.749511833283905 5.969305287951849,10.05365155780638 24.73038662998266 16.754284059381177 0.0 44.73975782831788 18.19910120538483 0.0 0.0 0.0 0.0,15.160178952647085 4.794537184071822 0.0 0.0 0.0 32.903945735995094 35.57383855009096 12.965578028838586 7.109797541277533 5.749511833283905 0.0 0.0 0.0 5.969305287951849
C#CCOC[C@H](O)CNc1ccc(F)cc1OC,18.970668350115623 0.0 0.0 0.0 6.103966387748303 32.185106480222274 24.016322046430723 0.0 18.093296047759807 5.687386274683562,10.05365155780638 38.07881165880495 4.736862953800049 18.161005055521798 0.0 18.19910120538483 0.0 0.0 0.0 10.077801322358383,19.897041906447136 0.0 4.39041504767482 0.0 6.423349895620259 5.920434318855644 12.13273413692322 12.611123474374185 25.508032168222314 18.173614638842718 0.0 0.0 0.0 0.0
CC(C)OCCCNCCNC(=O)[C@H]1Cc2ccccc21,9.53140013787187 0.0 10.633577208012662 0.0 38.71099007914296 26.241151182250643 35.392371257240434 0.0 0.0 5.907179729351506,10.633577208012662 38.25229729935045 15.95222176079788 0.0 37.31310505186264 24.26546827384644 0.0 0.0 0.0 0.0,15.37044016181271 4.794537184071822 0.0 0.0 0.0 24.26546827384644 44.36077703453984 19.696394776338067 12.021872433909696 0.0 0.0 5.907179729351506 0.0 0.0
OC[C@@H](CN[C@H]1CCc2c1c(F)ccc2F)Cc1ccccc1,13.887357490190345 0.0 5.316788604006331 5.917906046161393 25.30430569792599 13.151638370425493 70.78936563641405 0.0 0.0 0.0,5.316788604006331 18.2581657652662 12.841643245852019 17.55234772825318 29.153016927164956 42.46456947923127 0.0 0.0 0.0 8.78083009534964,10.423315998847038 0.0 8.78083009534964 0.0 0.0 30.33183534230805 48.440008035256625 24.756930691270448 0.0 11.63444168209179 0.0 0.0 0.0 0.0
CN[C@H](CC(C)(C)C)C(=O)Nc1ccc2oc(C)nc2c1,9.211688121125169 0.0 10.30076712495354 5.41499046939678 40.15761125083647 12.36446058668352 24.089825127410737 0.0 0.0 22.69428686329357,10.633577208012662 23.980671062123864 4.794537184071822 12.338727669087405 33.08275714402379 22.616252142438178 0.0 11.099720859258504 0.0 5.687386274683562,15.05072814506601 4.794537184071822 4.9839785209472085 0.0 0.0 20.771211599071872 37.08258528038481 12.611123474374185 6.041840829147961 5.516700717616262 11.47374406366815 5.907179729351506 0.0 0.0
CC[C@H](CNC(=O)CCC(F)(F)F)NC(=O)C[C@H](C)OC,27.49718246496815 0.0 10.633577208012662 0.0 57.85286662542502 13.65455394719011 0.0 0.0 0.0 11.814359458703011,10.633577208012662 43.79101914023286 14.325937321943693 0.0 39.53076089108528 0.0 0.0 0.0 0.0 13.171245143024459,15.370440161812711 9.589074368143644 0.0 13.171245143024459 0.0 6.923737199690624 13.344558822616634 26.117216399264077 18.94560963360032 0.0 0.0 11.814359458703011 0.0 6.176298517443475
CCOC(=O)c1cnc(NC(=O)[C@@](C)(O)COC)[nH]1,24.169327670584444 0.0 9.967957041894417 0.0 19.448525210364934 25.6403500743097 11.890771566461538 0.0 0.0 17.824824298289847,5.316788604006331 52.87558173532553 14.268263091671919 0.0 24.33593957830153 6.196843571613076 0.0 0.0 0.0 5.948339280986494,19.564231823388013 10.111325788078153 9.77851570501903 0.0 0.0 0.0 13.847474399381248 7.109797541277533 19.410607500638914 5.693927994848461 5.601050810983688 5.948339280986494 5.907179729351506 5.969305287951849
C#C[C@@H](/N=C(\N)Nc1cccc(OC)c1)C(C)(C)C,4.736862953800049 0.0 0.0 16.141062679194633 26.813052428219834 12.426586145283864 24.26546827384644 0.0 18.093296047759807 11.646940843427398,15.787319034968565 19.111192939169328 0.0 17.758774683872684 20.771211599071872 29.257873006482107 0.0 0.0 0.0 5.687386274683562,15.787319034968565 0.0 4.992404732635669 0.0 6.423349895620259 32.758012986389126 17.54772460632 11.753753343145172 7.109797541277533 11.791352662431866 5.959554568743835 0.0 0.0 0.0
CCc1nc([C@@H](C)NC(=O)C=C2CCC(C)CC2)n[nH]1,4.794537184071822 0.0 20.498130741555613 5.917906046161393 58.917160542849885 0.0 23.297933632903003 0.0 0.0 5.907179729351506,5.316788604006331 21.08852186690079 11.21535880699783 5.917906046161393 64.14514791592373 11.64912463690315 0.0 0.0 0.0 0.0,5.316788604006331 9.893218992372859 4.9839785209472085 5.098681808301038 0.0 19.420578929450514 38.524929737556064 12.49684172975989 6.041840829147961 5.824404497999927 5.824404497999927 5.907179729351506 0.0 0.0
Cc1cccc(OC[C@@H](O)CN[C@@H](C)c2ccccc2)c1,9.843390348640755 0.0 5.316788604006331 0.0 25.99328161627751 13.151638370425493 65.72420659954848 0.0 5.749511833283905 0.0,10.05365155780638 24.362132153014503 0.0 6.923737199690624 24.092481012232575 54.59730361615449 0.0 0.0 0.0 0.0,15.160178952647087 0.0 0.0 0.0 0.0 42.46456947923127 37.10711151969846 12.586597235060536 0.0 18.460360185545127 0.0 0.0 0.0 0.0
C[C@H]1CN(C(=O)CS(C)(=O)=O)C[C@@H]1NC(=O)CCCF,22.3972864001474 0.0 10.216698334856808 5.917906046161393 25.807221274690605 31.772726574358252 0.0 0.0 0.0 21.65161259512051,5.316788604006331 62.94663357738863 19.426327504561144 5.917906046161393 19.765380445542643 0.0 0.0 0.0 0.0 4.39041504767482,10.216698334856808 13.979489415818463 8.417796984328938 0.0 0.0 6.923737199690624 12.338727669087403 25.766103618262566 12.716431801422868 5.752853606746789 9.837253136417502 11.814359458703011 0.0 0.0
C[C@@H](C(=O)N[C@@H]1CCN(C)[C@@H](C)C1)N1CCOCC1,9.53140013787187 0.0 15.116608065707286 0.0 44.814640132677155 39.89570512944075 0.0 0.0 0.0 5.907179729351506,5.316788604006331 73.72822680793709 9.53140013787187 0.0 26.689117645233267 0.0 0.0 0.0 0.0 0.0,14.953561288656857 9.694446914922299 0.0 0.0 0.0 0.0 33.736789627910454 31.717950876033647 19.255604758173796 0.0 0.0 5.907179729351506 0.0 0.0
C[C@H](O)CCNCc1cnc(CC(F)(F)F)s1,18.277772537865165 0.0 10.30076712495354 0.0 38.590401756647 6.544756405912575 16.081614462167142 0.0 0.0 11.336785877934737,5.316788604006331 28.915527226892266 12.965578028838586 0.0 23.229329713170696 6.196843571613076 0.0 0.0 0.0 13.171245143024459,10.423315998847038 0.0 4.9839785209472085 13.171245143024459 11.336785877934737 0.0 19.88931522852921 17.61874717122695 12.524788010674312 5.007623696852765 0.0 0.0 0.0 6.176298517443475
CC(C)[C@H](CO)ONC(=O)NCc1ccc(F)cc1F,23.5194832579988 0.0 10.796885202127534 5.917906046161393 26.496197193042125 6.606881964512918 35.39699437917362 0.0 0.0 6.031114512338072,10.796885202127534 23.84849025944 11.382344989649209 17.55234772825318 19.410925891078243 18.19910120538483 0.0 0.0 0.0 13.575367279421462,10.423315998847038 4.8375885837366335 19.055463877542664 0.0 0.0 19.913841467842857 11.984273114623004 18.17457496607118 6.606881964512918 17.73840806984009 0.0 0.0 0.0 6.031114512338072
CCCOCC(=O)N(CCO)CCNC(=O)[C@@H]1CN(C)C[C@H]1C,19.4324647167844 0.0 15.116608065707286 11.835812092322787 20.268296022307258 59.59209990577881 0.0 0.0 0.0 11.814359458703011,5.316788604006331 86.3128062210235 14.325937321943691 11.835812092322787 20.268296022307258 0.0 0.0 0.0 0.0 0.0,24.959998414348043 9.589074368143644 0.0 0.0 0.0 13.847474399381248 19.38639965176459 39.33066399407579 12.52478801067431 6.606881964512918 0.0 11.814359458703011 0.0 0.0
CC(=O)N1CC[C@H](NC(=O)N2CCC[C@@]2(C)CCCO)C1,14.69560176298435 0.0 15.116608065707286 0.0 57.532348595542615 26.241151182250643 0.0 0.0 0.0 11.938294241689578,5.316788604006331 64.66655836201318 4.794537184071822 0.0 45.95158251401131 0.0 0.0 0.0 0.0 4.794537184071822,20.223135460547994 4.794537184071822 4.794537184071822 0.0 0.0 0.0 39.02784531432067 44.74565446347257 0.0 0.0 0.0 5.907179729351506 0.0 6.031114512338072
COCCC(=O)N1C[C@H](C)[C@H](NCc2nncs2)C1,9.53140013787187 0.0 20.414061951458883 5.917906046161393 25.93115605767717 26.806192317615604 10.518162970470145 0.0 0.0 17.243965607286242,5.316788604006331 53.85248622356762 16.076156543784446 5.917906046161393 18.352182519469398 5.51053927361738 0.0 0.0 0.0 0.0,14.953561288656857 4.794537184071822 0.0 0.0 21.534149494536813 6.923737199690624 5.917906046161393 26.241151182250647 19.572459993351504 10.518162970470145 0.0 5.907179729351506 0.0 0.0
CC(C(=O)N[C@H]1CCCN(CCO)[C@H]1C)=C1CCCC1,9.901064578912528 0.0 10.216698334856808 0.0 64.45608579523324 19.696394776338067 11.146209060138535 0.0 0.0 5.907179729351506,5.316788604006331 47.69369328967667 4.794537184071822 0.0 52.37240413693732 11.146209060138535 0.0 0.0 0.0 0.0,10.423315998847038 9.694446914922299 0.0 0.0 0.0 5.573104530069267 58.9171605428499 24.201542594277765 6.606881964512918 0.0 0.0 5.907179729351506 0.0 0.0
CCc1csc(NC(=O)N[C@@H](C2CC2)[C@H]2CCCCO2)n1,9.53140013787187 0.0 10.30076712495354 5.917906046161393 57.59447415414296 11.923670568519249 11.073990765314376 0.0 0.0 22.499458870112143,10.633577208012662 29.767782214694464 11.157684576726059 5.917906046161393 44.72177330916914 5.380062770465915 0.0 0.0 0.0 9.926095663911155,10.05365155780638 5.316788604006331 9.77851570501903 0.0 11.336785877934737 6.923737199690624 44.442835783717456 11.986944734978833 17.839735211744724 0.0 5.131558479839333 0.0 0.0 6.031114512338072
Cc1n[nH]cc1CN(C)C(=O)Cc1ccc(O)cc1,9.901064578912528 0.0 15.097273347452553 0.0 19.88931522852921 7.04767198267719 47.283142823701965 0.0 5.749511833283905 5.907179729351506,0.0 33.15865245432195 17.760115212910407 6.923737199690624 16.82083097824245 30.462311845459514 0.0 0.0 0.0 0.0,10.006437125691184 9.893218992372859 0.0 5.098681808301038 0.0 12.13273413692322 24.619922828310838 25.352723451899838 12.114749617774471 5.749511833283905 0.0 5.907179729351506 0.0 0.0
C[C@@H](CNC(=O)c1ccon1)NCc1ccc(OCC#N)cc1,14.054495074845219 5.261891554738487 15.790240465138108 0.0 19.51033443475116 13.151638370425493 47.852377824492564 0.0 11.818733146076179 5.907179729351506,15.370440161812711 30.257322186050406 6.544756405912575 11.33111286753076 22.9756538703079 41.118093274920454 0.0 0.0 0.0 0.0,19.89353509878606 4.794537184071822 0.0 5.261891554738487 0.0 17.289397394048667 24.619922828310838 25.197720709434723 0.0 18.081896141715234 12.300809959361379 0.0 5.907179729351506 0.0
COc1cnc(C(=O)N(C)[C@@H](C)CNCc2cnon2)nc1,14.160439074765218 0.0 30.497981891002112 0.0 19.51033443475116 20.7022259298673 30.108863207687616 0.0 5.749511833283905 5.907179729351506,10.05365155780638 57.832439775362545 6.544756405912575 0.0 23.236606876610836 23.219569651732577 0.0 0.0 0.0 0.0,14.953561288656857 4.794537184071822 14.596995978787767 0.0 0.0 10.31332651425089 6.923737199690624 26.1790256236503 25.700328256116762 5.693927994848461 5.749511833283905 5.824404497999927 5.907179729351506 0.0
Cc1ccc(C(=O)Nc2ccc([C@@H](C)N)cc2)n1C,4.794537184071822 0.0 4.567099647791355 12.781339459839375 19.88931522852921 5.316788604006331 53.349509892163574 0.0 0.0 11.594566004035068,11.050456081168516 10.47427937714286 7.04767198267719 6.923737199690624 34.711422694304325 36.39820241076966 0.0 0.0 0.0 5.687386274683562,15.617555728959871 4.794537184071822 0.0 0.0 0.0 12.13273413692322 43.67639416492468 24.470827081357175 0.0 5.693927994848461 0.0 0.0 5.907179729351506 0.0
CC[C@@H](C)NC(=O)NC1[C@H]2CC[C@H]1Cc1ccccc1C2,4.794537184071822 0.0 10.633577208012662 11.835812092322787 58.03526417230722 0.0 35.392371257240434 0.0 0.0 6.031114512338072,10.633577208012662 18.114796170633994 12.841643245852019 11.835812092322787 44.23684225155327 24.26546827384644 0.0 0.0 0.0 4.794537184071822,10.633577208012662 0.0 4.794537184071822 0.0 0.0 31.18920547353706 61.990560390037444 12.083681658295921 0.0 0.0 0.0 0.0 0.0 6.031114512338072
C[C@H](NC(=O)C(=O)NC[C@@]1(C)CCCO1)C1CCC1,14.325937321943693 0.0 10.633577208012662 5.917906046161393 57.59447415414296 13.151638370425493 0.0 0.0 0.0 11.814359458703011,10.633577208012662 36.60888946926015 14.325937321943693 5.917906046161393 45.95158251401131 0.0 0.0 0.0 0.0 0.0,15.370440161812711 9.589074368143644 0.0 0.0 0.0 6.4208216229260096 45.448666937246685 19.193479199573453 5.601050810983688 0.0 0.0 0.0 0.0 11.814359458703011
