SMILES,SMR_VSA,SlogP_VSA,PEOE_VSA
O=C(c1ccc(-c2ccc(F)cc2O)cn1)N1CCOCC1,19.028342580387395 0.0 9.883888251797686 0.0 0.0 26.303276740850986 48.03982774981549 0.0 16.876414816677897 5.907179729351506,0.0 47.20087211684088 4.736862953800049 5.817220841045895 10.488465178920283 36.52867891392113 0.0 11.126902983393991 0.0 4.39041504767482,14.743300079491233 9.77851570501903 4.39041504767482 0.0 0.0 6.06636706846161 18.19910120538483 36.47962643529383 13.213763929025836 17.26066066917826 0.0 0.0 5.907179729351506 0.0
COC(=O)[C@@H]1C[C@](O)(C(F)(F)F)CN1[C@H]1CCC[C@H](C)C1,27.809172675737038 0.0 4.899909730850478 5.917906046161393 62.888876301043766 13.65455394719011 0.0 0.0 0.0 5.969305287951849,0.0 53.49132734755622 9.53140013787187 5.917906046161393 39.02784531432067 0.0 0.0 0.0 0.0 13.171245143024459,9.843390348640755 9.694446914922299 0.0 13.171245143024459 0.0 19.765380445542643 18.75954929201341 19.007418857986547 7.109797541277533 6.041840829147961 5.601050810983688 0.0 0.0 12.145603805395325
Cc1nccc(-c2ccc(N[C@H]3CCOC[C@H]3C)cc2)n1,4.736862953800049 0.0 9.967957041894417 5.917906046161393 26.31013685145522 18.530552533032168 42.353083411921055 0.0 11.257379486545457 5.687386274683562,5.316788604006331 29.223561800068214 4.736862953800049 12.841643245852017 19.168963320616562 36.52867891392113 0.0 11.257379486545457 0.0 5.687386274683562,10.05365155780638 0.0 9.967957041894417 0.0 0.0 19.056471336613843 37.46156607416285 30.096404131654513 12.300809959361379 5.824404497999927 0.0 0.0 0.0 0.0
C[C@H](C(=O)Nc1ccc(-n2ccnc2)nc1)C1CC1,4.794537184071822 0.0 14.53505668968577 11.835812092322787 19.765380445542643 5.316788604006331 37.050584926526994 0.0 5.817862777835028 11.594566004035068,5.316788604006331 20.442236419037275 4.794537184071822 11.835812092322787 19.765380445542643 37.050584926526994 0.0 5.817862777835028 0.0 5.687386274683562,5.316788604006331 9.361636831863176 9.967957041894417 0.0 0.0 6.923737199690624 30.892283428936633 18.311593189387544 11.884229846296638 12.14518285259957 0.0 5.907179729351506 0.0 0.0
CC(=O)N1CCOC[C@@H]1CNC(=O)c1cnccc1C,14.325937321943691 0.0 15.200676855804016 0.0 19.88931522852921 26.303276740850986 29.58695719508175 0.0 0.0 11.814359458703011,5.316788604006331 54.04336528049964 9.53140013787187 6.923737199690624 22.845177367156435 18.460054211687762 0.0 0.0 0.0 0.0,14.953561288656857 14.573052889090853 0.0 0.0 0.0 0.0 18.553555759849232 32.406937154741925 24.81905624987079 0.0 0.0 5.907179729351506 5.907179729351506 0.0
O=C(O)c1sccc1-c1ccc(C2CCC2)nn1,9.901064578912528 0.0 10.197363616602075 0.0 25.18037091493942 0.0 34.1502391644005 0.0 11.257379486545457 17.306091165886585,0.0 21.27319629939463 0.0 0.0 40.545983287561 23.579163975850744 0.0 11.257379486545457 0.0 0.0,5.106527394840706 0.0 4.794537184071822 10.197363616602075 11.336785877934737 6.4208216229260096 36.42080722170276 11.48135753785839 11.387855989696922 4.877147193701299 0.0 0.0 0.0 5.969305287951849
COC(=O)c1ccc(-n2c3nccc-3c(N)nc2Cl)cc1OC,14.268263091671919 0.0 14.53505668968577 0.0 0.0 19.953262559717253 41.30934965720077 0.0 22.82475409766439 23.388107956019393,10.470530430962235 34.72395706019269 4.736862953800049 0.0 10.357988675768818 30.462311845459517 5.283586320044258 17.075242264380485 0.0 5.817862777835028,15.207393384762284 4.567099647791355 14.76249422596624 0.0 0.0 0.0 29.800041095617345 12.263210640074686 25.470432848935623 22.955230600815856 0.0 5.283586320044258 0.0 5.969305287951849
CON1CCC(N(C)Cc2cc(O)cc(Cl)c2)CC1,9.94411597857734 0.0 9.963127455815826 0.0 25.428240480912557 27.246982335779876 28.785186010823153 0.0 5.749511833283905 11.600939890232516,0.0 48.35847801558436 11.382344989649209 0.0 18.405094737549014 18.19910120538483 5.022633313741326 0.0 0.0 0.0,9.94411597857734 4.899909730850478 0.0 5.063217724965349 0.0 11.600939890232516 43.65186792561103 30.698743360627013 7.109797541277533 5.749511833283905 0.0 0.0 0.0 0.0
O=C(O)[C@H]1CCC[C@H](C(=O)N2CCOc3cc(F)ccc32)C1,23.822879764459216 0.0 0.0 11.835812092322787 25.683286491704038 18.051548101275973 24.016322046430723 0.0 5.749511833283905 17.563871291986917,9.636772684650527 30.134650782569555 9.589074368143644 17.65303293336868 25.683286491704038 18.19910120538483 0.0 0.0 0.0 10.077801322358383,14.743300079491233 9.589074368143644 4.39041504767482 0.0 0.0 6.4208216229260096 31.395199005701247 11.984273114623004 18.15004872675753 18.173614638842718 0.0 5.907179729351506 0.0 5.969305287951849
CC[C@@H]1OCCC[C@H]1C(=O)NC(C)(C)c1nccs1,9.53140013787187 0.0 10.30076712495354 5.917906046161393 51.67656810798154 6.606881964512918 16.584530038931756 0.0 0.0 17.243965607286242,5.316788604006331 23.602006602559932 15.070325390255215 5.917906046161393 45.04130016470267 11.576906342078992 0.0 0.0 0.0 0.0,10.05365155780638 4.794537184071822 4.9839785209472085 0.0 11.336785877934737 6.923737199690624 33.10993926815928 18.18378830659191 17.560797686293043 5.007623696852765 0.0 5.907179729351506 0.0 0.0
C[C@H](CN1CCC(C)CC1)n1c(O)nc2ccccc2c1=O,5.106527394840706 0.0 14.450987899589041 5.917906046161393 32.730958474381225 19.634269217737724 34.61927235297027 0.0 6.010464839586836 10.902924932081056,5.559266895052007 39.19178451216748 0.0 5.917906046161393 32.730958474381225 29.060005457918262 0.0 10.902924932081056 0.0 0.0,10.006437125691184 9.361636831863176 0.0 4.9839785209472085 0.0 19.056471336613843 50.90553344045241 6.544756405912575 16.944765761229018 0.0 0.0 0.0 11.569731734638843 0.0
CCCCN1CCC2(C[C@H]2NC(=O)[C@H]2C[C@@H]2C(F)F)CC1,13.575367279421462 0.0 10.216698334856808 17.250802561719567 57.915952511253835 19.634269217737724 0.0 0.0 0.0 5.907179729351506,5.316788604006331 42.90864425194686 4.794537184071822 17.250802561719567 45.448666937246685 0.0 0.0 0.0 0.0 8.78083009534964,10.216698334856808 4.794537184071822 8.78083009534964 0.0 0.0 13.344558822616634 57.15336780176455 17.877652921470748 0.0 0.0 0.0 12.332624474210697 0.0 0.0
O=C(CCCC1CC1)N[C@H]1CCN(C(=O)C2CCC2)C1,9.589074368143644 0.0 10.216698334856808 11.835812092322787 63.82923543548206 13.08951281182515 0.0 0.0 0.0 11.814359458703011,5.316788604006331 35.8456228305266 9.589074368143644 11.835812092322787 57.787394606334104 0.0 0.0 0.0 0.0 0.0,10.216698334856808 9.589074368143644 0.0 0.0 0.0 19.26246486877803 38.02201416079144 31.470081310060518 0.0 0.0 0.0 11.814359458703011 0.0 0.0
